day,initial_sequence,initial_tick_id,initial_timestamp_utc,initial_side,reversal_triggered,reversal_tick_id,reversal_timestamp_utc,reversal_side,initial_realized_loss,reversal_entry,double_recovered,double_recovery_seconds,single_recovered,single_recovery_seconds,max_adverse_before_scale_down,double_max_favorable,scaled_pnl_60,scaled_pnl_300
2026-02-03,5,29832512,2026-02-03T12:49:36+00:00,short,True,29832630.0,2026-02-03T12:50:28+00:00,long,-0.6700000000000728,4915.83,True,4.289,True,21.672,-1.8299999999999272,3.7299999999995634,-2.050000000000182,-4.989999999999782
2026-02-03,6,29857216,2026-02-03T14:30:39+00:00,short,False,,,,,,,,,,,,,
2026-02-03,7,29912274,2026-02-03T18:10:39+00:00,short,True,29912305.0,2026-02-03T18:10:47+00:00,long,-4.869999999999891,4947.11,True,85.336,True,86.261,-11.609999999999673,8.910000000000764,-10.669999999999163,-1.8999999999996362
2026-02-03,8,29928007,2026-02-03T19:13:48+00:00,short,False,,,,,,,,,,,,,
2026-02-04,1,30093093,2026-02-04T09:55:15+00:00,short,False,,,,,,,,,,,,,
2026-02-04,2,30188460,2026-02-04T17:05:55+00:00,short,False,,,,,,,,,,,,,
2026-02-04,3,30225183,2026-02-04T19:45:19+00:00,short,True,30225189.0,2026-02-04T19:45:22+00:00,long,-0.7600000000002183,4942.33,True,2.355,True,12.443,-1.8799999999991996,15.979999999999563,5.710000000000036,-0.11000000000058208
2026-02-04,4,30230276,2026-02-04T20:08:27+00:00,long,False,,,,,,,,,,,,,
2026-02-05,1,30260415,2026-02-04T23:57:28+00:00,long,True,30260455.0,2026-02-04T23:57:41+00:00,short,-0.7899999999999636,5015.92,True,0.595,True,20.18,-1.2899999999999636,21.449999999999818,2.780000000000655,8.640000000000327
2026-02-05,2,30268167,2026-02-05T00:37:46+00:00,short,True,30268193.0,2026-02-05T00:38:01+00:00,long,-0.43000000000029104,5017.17,True,17.647,True,17.647,-0.9899999999997817,0.9499999999989086,0.6599999999998545,-2.740000000000691
2026-02-05,3,30327554,2026-02-05T04:52:35+00:00,short,True,30327565.0,2026-02-05T04:52:39+00:00,long,-0.8899999999994179,4886.69,True,104.761,False,,-12.80999999999949,0.6100000000005821,-8.889999999999418,-16.6299999999992
2026-02-05,4,30377018,2026-02-05T08:31:34+00:00,long,False,,,,,,,,,,,,,
2026-02-05,5,30428541,2026-02-05T12:33:45+00:00,short,True,30428622.0,2026-02-05T12:34:05+00:00,long,-1.5799999999999272,4855.0,True,6.632,True,6.632,-4.299999999999272,27.719999999999345,3.7100000000000364,9.289999999999964
2026-02-05,6,30515767,2026-02-05T18:34:39+00:00,short,True,30515833.0,2026-02-05T18:34:58+00:00,long,-1.519999999999527,4870.24,False,,False,,-24.9399999999996,-0.8999999999987267,-11.279999999999745,-23.13999999999851
