period,window_minutes,band_stdev,slope_mode,side,events,successes,excellent_proxy_rate,cover_5s_rate,median_mfe_15,median_mae_15
later,15,2.0,60,short,6,0,0.0,0.3333333333333333,0.04500000000007275,0.9249999999997272
later,15,2.0,300,long,27,1,0.037037037037037035,0.25925925925925924,-0.1099999999996725,0.6900000000005093
later,15,2.0,300,short,22,4,0.18181818181818182,0.45454545454545453,0.1750000000001819,0.7049999999999272
later,15,2.0,both,long,3,0,0.0,0.3333333333333333,-0.1300000000001091,0.5500000000001819
later,15,2.0,both,short,6,0,0.0,0.3333333333333333,0.04500000000007275,0.9249999999997272
earlier,30,0.5,60,long,75,8,0.10666666666666667,0.4,0.1200000000008003,0.8000000000001819
earlier,30,0.5,60,short,75,13,0.17333333333333334,0.5066666666666667,0.3400000000001455,0.5799999999999272
earlier,30,0.5,300,long,85,9,0.10588235294117647,0.4,0.1700000000000727,0.8599999999996726
earlier,30,0.5,300,short,81,10,0.12345679012345678,0.4691358024691358,0.2899999999999636,0.6199999999998909
earlier,30,0.5,both,long,62,7,0.11290322580645161,0.4032258064516129,0.11500000000069115,0.9299999999998363
earlier,30,0.5,both,short,69,9,0.13043478260869565,0.4782608695652174,0.2899999999999636,0.6100000000005821
earlier,30,1.0,60,long,32,7,0.21875,0.46875,0.30999999999994543,0.40500000000065484
earlier,30,1.0,60,short,48,6,0.125,0.4583333333333333,0.2849999999998545,0.8150000000005093
earlier,30,1.0,300,long,46,10,0.21739130434782608,0.4782608695652174,0.2200000000002546,0.5850000000000364
earlier,30,1.0,300,short,60,6,0.1,0.43333333333333335,0.25,0.7699999999999818
earlier,30,1.0,both,long,26,6,0.23076923076923078,0.46153846153846156,0.3399999999996907,0.40500000000065484
earlier,30,1.0,both,short,43,5,0.11627906976744186,0.46511627906976744,0.269999999999527,0.8800000000001091
earlier,30,1.5,60,long,17,6,0.35294117647058826,0.47058823529411764,0.6099999999996726,0.3699999999998908
earlier,30,1.5,60,short,18,1,0.05555555555555555,0.3333333333333333,0.014999999999872601,1.0199999999999818
earlier,30,1.5,300,long,30,6,0.2,0.4,0.25,0.49499999999989086
earlier,30,1.5,300,short,38,4,0.10526315789473684,0.42105263157894735,0.15499999999974529,0.875
earlier,30,1.5,both,long,17,6,0.35294117647058826,0.47058823529411764,0.6099999999996726,0.3699999999998908
earlier,30,1.5,both,short,17,1,0.058823529411764705,0.35294117647058826,0.019999999999527,0.9800000000004728
earlier,30,2.0,60,long,8,1,0.125,0.25,0.2299999999995634,2.300000000000182
earlier,30,2.0,60,short,4,0,0.0,0.75,0.38000000000056383,0.625
